time,tx,ty,tz,rw,rx,ry,rz,rear_wheel_angle,steer_angle,front_wheel_angle,crank_angle,left_pedal_angle,right_pedal_angle
0.0,0.01500498297765892,-3.827937460045634e-07,0.34974849013527304,0.9999999994143417,-1.7800468052993236e-07,-3.4168570543507406e-05,1.947729272049093e-06,-3.782088552861761e-06,6.833525810717515e-05,0.005566773061818421,0.0037671903537413146,-0.003767190353741347,nan
0.01671003717472119,0.06518758920261664,-1.5387639431288675e-06,0.3470559514553428,0.999999922356258,-2.1183170291678033e-07,-0.00039397948183699823,8.221997835081214e-06,-1.5537738457299437e-05,0.0007879122443643033,0.02402287776317412,0.009255994092195715,-0.00925599409219576,nan
0.03342007434944238,0.11542396821766385,-2.5253678365864308e-06,0.3415856593483453,0.9999993710518467,5.649003365909913e-07,-0.0011214697035041357,1.4187889533209307e-05,-2.5971349596081013e-05,0.0022427387419065143,0.0423852273755176,0.010511424105696525,-0.010511424105696547,nan
0.050130111524163565,0.1657144320504965,-3.432020903951905e-06,0.33333140468655836,0.9999975424751805,2.280109723996147e-06,-0.002216894572862021,2.0416999467861828e-05,-3.596862332081399e-05,0.004433260762880415,0.062281956302791264,0.011316588970111906,-0.011316588970111991,nan
0.06684014869888476,0.21606078200816167,-4.291433562310677e-06,0.3222207446857767,0.9999931933919042,5.368332701584428e-06,-0.003689497163891073,2.7417518444894063e-05,-4.6105848610760425e-05,0.0073778969680317105,0.08519429546601472,0.012636394055589103,-0.012636394055589216,nan
0.08355018587360595,0.26646203541188385,-5.072229706557189e-06,0.30833355173663,0.9999847156920674,1.0403816276832448e-05,-0.005528744528495413,3.546765337288492e-05,-5.648652922694207e-05,0.011055536925226117,0.1119210256221591,0.014488072812923823,-0.014488072812923969,nan
0.10026022304832713,0.31111827341212706,-3.0864740080502097e-06,0.2999943558729637,0.9999996838679799,3.8460130180747354e-05,-0.0007921977024798688,5.6635315479865256e-05,-7.394138465164115e-05,0.002389264900195347,0.17218823847548004,0.0391959565252305,-0.0391959565252306,nan
0.11697026022304832,0.3490589249633539,-5.229715933520661e-06,0.30033872991664406,0.9999995377011042,6.197506010689604e-05,0.0009572809142371846,6.610538012114267e-05,-1.0683498738715107e-05,0.07559192001268399,0.25214234309098654,0.049955737001194746,-0.04995573700119474,nan
0.13368029739776952,0.386053301891962,-9.04988529859549e-06,0.3022086882315108,0.9999996975969982,8.282293966232239e-05,0.0007700270048018894,7.074379671244039e-05,6.0329485703644755e-05,0.1777915444244614,0.3348317122463397,0.05249049381139156,-0.052490493811391474,nan
0.1503903345724907,0.4235409082853126,-1.2790014426129326e-05,0.3035533333434979,0.9999998791039658,0.00010263436258573732,0.0004751211471156207,7.428416346661777e-05,0.00010213088299831288,0.28408606803402714,0.4158599334678537,0.052330970573128376,-0.052330970573128195,nan
0.1671003717472119,0.4616516964302409,-1.5800928965425825e-05,0.30436646088593633,0.9999999518989462,0.00012087996873495214,0.0002750219090850718,7.715625620365185e-05,0.00012091291297749021,0.3919730813963845,0.4954309886828784,0.051740711480603704,-0.051740711480603524,nan
0.1838104089219331,0.5003689750930302,-1.7487532738991512e-05,0.30484528796299915,0.9999999759975463,0.00013670548860764218,0.0001516422877079058,7.950555189643332e-05,0.0001249392904103445,0.5013007517180804,0.5744950283158271,0.051437724875066926,-0.051437724875066815,nan
0.20052044609665426,0.5396815890792014,-1.7685444185880884e-05,0.3051145305232538,0.9999999827727404,0.0001498233724128338,7.340665041662897e-05,8.135686733376938e-05,0.00011881637749636321,0.6121333308063781,0.6537331350870454,0.05149738713360324,-0.05149738713360322,nan
0.21723048327137545,0.5795820364426694,-1.6951477794435422e-05,0.3052560323740062,0.9999999832716632,0.0001610441626474492,2.6206078431066417e-05,8.26721990713076e-05,0.00010499406922441454,0.7245106600491764,0.7335595029233055,0.051828123033435355,-0.05182812303343526,nan
0.23394052044609664,0.6200456426100114,-1.5750148507591312e-05,0.30533002795123765,0.9999999819245464,0.00017089838625939345,-1.2642339738652372e-07,8.333446194307712e-05,8.393719336618249e-05,0.8384059028777897,0.8141798349057514,0.05232102432163075,-0.05232102432163057,nan
0.25065055762081784,0.6610680314611019,-1.4181061555809182e-05,0.30536925756162714,0.9999999803500701,0.00017932499098129005,-1.4611326278699923e-05,8.324011157940969e-05,5.6312349187149775e-05,0.9538359198165225,0.8957287398121869,0.052908114048820516,-0.05290811404882043,nan
0.26736059479553903,0.7026423813553325,-1.220477258185249e-05,0.3053905447555722,0.9999999790495958,0.00018604730523365286,-2.2627034385411008e-05,8.231175956586e-05,2.3111941446039402e-05,1.070798353099522,0.9782811430860051,0.0535466825462966,-0.053546682546296645,nan
0.2840706319702602,0.7447479027804128,-9.732920704354033e-06,0.3054024603947845,0.9999999781673367,0.00019089008841258228,-2.7080914248225823e-05,8.057868633498083e-05,-1.317430419283678e-05,1.1892438163492363,1.0618490073345297,0.0542102947132755,-0.054210294713275674,nan
0.3007806691449814,0.7873817981837292,-6.660831162546053e-06,0.3054091572362199,0.999999977775561,0.00019360790633419638,-2.9444068731262308e-05,7.808907119467177e-05,-5.048588309701941e-05,1.3091690333495751,1.1464563183743601,0.05488363025138605,-0.054883630251386234,nan
0.3174907063197026,0.8305352100548666,-2.8866971879345716e-06,0.30541295830777254,0.9999999779343386,0.0001938916913310682,-3.058565370733126e-05,7.48455238566911e-05,-8.822156322051726e-05,1.4305518289673291,1.2321031417590944,0.05555727178876633,-0.05555727178876652,nan
0.3342007434944238,0.8741897498825262,1.673102668836647e-06,0.3054151598566307,0.9999999786785487,0.00019147148166833312,-3.102032509513861e-05,7.08471137091888e-05,-0.0001262740083964414,1.5533421067989681,1.3187626803735375,0.056225828823899385,-0.05622582882389951,nan
0.350910780669145,0.9183439148609316,7.1230469981125265e-06,0.30541644101623194,0.9999999800392858,0.00018599611995519827,-3.1032172608540244e-05,6.605963759327237e-05,-0.0001646354345112664,1.6775365441168988,1.4064379008358565,0.05688611426762087,-0.05688611426762097,nan
0.3676208178438662,0.9629870575538374,1.3542392900635183e-05,0.30541720390669996,0.9999999819965179,0.00017720353272909027,-3.079921421338326e-05,6.047545251578963e-05,-0.00020302256744518984,1.803105748771862,1.4951107525297263,0.05753640778075866,-0.05753640778075872,nan
0.3843308550185874,1.0081029852635912,2.0976199224459064e-05,0.305417675882246,0.9999999844706687,0.00016493519843928213,-3.0427436390854715e-05,5.4122212533794364e-05,-0.00024090235785384725,1.9300044935561318,1.584750217308469,0.0581759018087212,-0.05817590180872122,nan
0.4010408921933085,1.0536913530626606,2.948179574415922e-05,0.3054179787000949,0.9999999873506212,0.00014896277782772426,-2.9976361044662096e-05,4.701346697124292e-05,-0.0002777259955324704,2.058231989174191,1.6753568150073443,0.05880395203138481,-0.05880395203138477,nan
0.4177509293680297,1.0997399542357589,3.9069561005489434e-05,0.30541818584038627,0.9999999904406567,0.00012926849662678265,-2.948343996576213e-05,3.9230971073461695e-05,-0.0003123034970630075,2.187753982336233,1.766906303724931,0.059420468954596274,-0.05942046895459631,nan
0.4344609665427509,1.1462346024564212,4.971520545775622e-05,0.30541833843008426,0.9999999934931934,0.00010592848613950683,-2.897031293046769e-05,3.087863733508587e-05,-0.00034359804829757457,2.318530607912487,1.8593700175284988,0.06002557134390352,-0.06002557134390346,nan
0.4511710037174721,1.1931759855798094,6.140234162057507e-05,0.30541845865713,0.9999999962330138,7.89804440185721e-05,-2.8449228927689978e-05,2.2061351124866224e-05,-0.0003705562782584942,2.4505638158985903,1.952749605678437,0.060619105278399824,-0.06061910527839961,nan
0.4678810408921933,1.240550545572287,7.405685321424685e-05,0.3054185600694896,0.9999999983421777,4.8670858895870245e-05,-2.7927563512618792e-05,1.2916789381396444e-05,-0.00039229770228323726,2.5838154707617167,2.047017427068004,0.06120135322838409,-0.06120135322838391,nan
0.4845910780669145,1.28834592706866,8.758425410078243e-05,0.30541865011899855,0.9999999995004711,1.5324342114133644e-05,-2.7409342025367644e-05,3.5986387578808842e-06,-0.00040797730068803384,2.7182508092565656,2.1421482356272,0.06177258742446872,-0.06177258742446843,nan
0.5013011152416357,1.33656375612767,0.00010188796338282356,0.3054187326343314,0.9999999994070441,-2.07338941465719e-05,-2.68978520735548e-05,-5.702901873448675e-06,-0.00041642553822579927,2.8538743830353592,2.238145363680898,0.062332734054299364,-0.06233273405429907,nan
0.5180111524163569,1.3851893466415472,0.00012010794084669643,0.30541880991467446,0.9999999974096614,-6.517515874846543e-05,-2.6395182672418913e-05,-1.5367830419284335e-05,-0.00042656417907726895,2.9906452983759326,2.334978466120634,0.06288206788947935,-0.06288206788947909,nan
0.5347211895910781,1.4342120448788396,0.00015566675761617078,0.30541888157893216,0.9999999891791588,-0.0001422754125345449,-2.590316205178904e-05,-2.6989173964376093e-05,-0.0004633751069586834,3.128532331694565,2.4326255577859204,0.0634208949102753,-0.06342089491027508,nan
0.5514312267657993,1.4836344664565824,0.00022414153242165892,0.30541894017886734,0.9999999597535759,-0.0002794795093274912,-2.5426671408918185e-05,-4.168374949400678e-05,-0.0005355537243013989,3.2675395174967363,2.5310912958455276,0.06394904468894559,-0.06394904468894537,nan
0.5681412639405204,1.5334408288660635,0.0003385189043729476,0.3054189698977428,0.999999873197629,-0.000499375383062481,-2.4954308550131858e-05,-6.0051938542620084e-05,-0.0006404312875909685,3.407624122994813,2.630343296511169,0.06446698783521583,-0.06446698783521561,nan
0.5848513011152416,1.5836219800605136,0.0005105193562751789,0.3054189369943704,0.9999996588079743,-0.000821621918410898,-2.447491090913144e-05,-8.198985905720482e-05,-0.0007643654739266469,3.5487606538107155,2.730362553932104,0.06497496821036455,-0.06497496821036433,nan
0.6015613382899628,1.6341806781319919,0.0007527616667182334,0.3054187853023065,0.9999991919805802,-0.001266518409603999,-2.3950329176563702e-05,-0.00010675058151358667,-0.0008859183548529678,3.6909570220527845,2.8311554552855793,0.06547309778244355,-0.06547309778244324,nan
0.618271375464684,1.6851000366348794,0.0010728782048940557,0.3054188334727847,0.9999982889680026,-0.0018449532666099835,-2.303082061617183e-05,-0.0001329589882595177,-0.0009833145582412103,3.8341653400709896,2.9326921746479377,0.06596429677436896,-0.06596429677436846,nan
0.6349814126394052,1.7363722652215652,0.0014788794073097601,0.30541959897719423,0.9999966902930888,-0.0025678312013058704,-2.1185179606808648e-05,-0.000158735560453878,-0.0010348176003776048,3.978367870188721,3.034960495572689,0.06644890505046726,-0.06644890505046662,nan
0.6516914498141264,1.7880000146634876,0.0019810109089323466,0.3054215097604016,0.9999940248677976,-0.0034519701741517936,-1.8994073680373836e-05,-0.00018376573269577676,-0.001053847310393059,4.1235939920246345,3.1379708552823695,0.06692544269110194,-0.0669254426911012,nan
0.6684014869888476,1.8399675295577063,0.0025888061312466216,0.30542988824045747,0.9999898044569462,-0.004510843951195581,-1.9164326223653595e-05,-0.0002071273405128931,-0.0010346835529349925,4.269785957603025,3.2416904223169936,0.06739196182857699,-0.06739196182857628,nan
0.6851115241635688,1.8922693776741841,0.0033192837316644926,0.3054466012844992,0.9999833498617552,-0.005766200856049495,-2.1575170750480845e-05,-0.00022463628900611197,-0.0009236355682652843,4.416921807979257,3.346108116758577,0.06785018933049594,-0.06785018933049522,nan
0.70182156133829,1.9449081566979842,0.0041937180966634385,0.305469843095948,0.9999737452829687,-0.007242602469273824,-2.5448520506455453e-05,-0.0002297968613190003,-0.0006504649862405398,4.565002610407222,3.451224717840417,0.06829670706756218,-0.06829670706756148,nan
0.7185315985130112,1.997868046680672,0.005229176809275264,0.30549990200879995,0.9999598823974563,-0.008954700132572598,-2.8061300319156866e-05,-0.0002148342726767713,-0.0001480735716372342,4.713974990299309,3.556986855891089,0.0687270747119085,-0.06872707471190789,nan
0.7352416356877324,2.05114470558673,0.006448313415621288,0.3055340006722518,0.9999403451893981,-0.010921375939633056,-2.982450651862711e-05,-0.00016947150582133076,0.0006628301423935016,4.863823332664174,3.663386683000664,0.06914673032145445,-0.06914673032145394,nan
0.7519516728624536,2.104739199382138,0.007878919249051505,0.30556887384823195,0.9999133630433175,-0.013162789252559388,-3.1539742609741946e-05,-7.994835959411126e-05,0.0018772773951562464,5.014547776594828,3.7704298119232673,0.06955737661794456,-0.06955737661794403,nan
0.7686617100371748,2.158637474814597,0.0095393825821124,0.30560125899648555,0.9998770344541765,-0.015681525631669913,-3.3790799620650625e-05,6.769909009276134e-05,0.0035738806792644023,5.1661070611078665,3.878090201543632,0.06995910857516924,-0.06995910857516882,nan
0.785371747211896,2.2128357060361563,0.01145569247561867,0.305627719919979,0.9998291063704791,-0.018484370108307745,-3.701612849696008e-05,0.0002911115161228254,0.005844321418637957,5.318489003535634,3.9863618359080375,0.07035125829773124,-0.07035125829773096,nan
0.802081784386617,2.267332841837501,0.013658567073909545,0.3056441942555407,0.9997670162267949,-0.021576313002963626,-4.167794092720354e-05,0.0006117557677558197,0.008787594020503331,5.4716908001972815,4.095244418260694,0.07073306556332522,-0.07073306556332516,nan
0.8187918215613382,2.32211548307106,0.01616766643233359,0.3056466154599951,0.9996882604915316,-0.02494552697785412,-4.8277952356654704e-05,0.0010488986853613234,0.012468673619245545,5.62567858228128,4.204712908076903,0.07110435395246358,-0.07110435395246363,nan
0.8355018587360594,2.3771795842436707,0.01901296153808358,0.3056301685424224,0.9995900517140722,-0.028584589841763815,-5.75606685038898e-05,0.0016267835154116057,0.0169661429476435,5.780448051964522,4.3147624011484345,0.07146481052705057,-0.07146481052705056,nan
0.8522118959107806,2.432521417566976,0.022227652394719955,0.30558949467698265,0.9994695154490166,-0.032481598065656765,-7.059487449663673e-05,0.0023724442190813317,0.022353095700287713,5.936001302682179,4.42539015485997,0.07181418628952504,-0.07181418628952523,nan
0.8689219330855018,2.4881273979172756,0.025832880478318748,0.30552002714998777,0.999324101907873,-0.03661134055374586,-8.866753730845307e-05,0.003307752552505723,0.0286582086504508,6.092318752998513,4.5365745394678525,0.07215276400555767,-0.07215276400555803,nan
0.885631970260223,2.543992226352448,0.029863031725144287,0.30541645732783257,0.9991511328789471,-0.04095242325389128,-0.00011365371590129829,0.004460916854593533,0.03592393973996387,6.249412044641145,4.648313505244819,0.07248062603074788,-0.0724806260307483,nan
0.9023420074349442,2.6001086687474046,0.034352927830908056,0.30527379026254514,0.998948144439452,-0.04547789755004256,-0.00014800553045870205,0.005860345533043312,0.04417289316538976,6.407296998871117,4.76060384491401,0.07279797517988411,-0.07279797517988447,nan
0.9190520446096654,2.656461991886087,0.039325108551278035,0.30508880046332804,0.9987131679698786,-0.05015294031239225,-0.00019446699834897854,0.007526811023072356,0.05338219411657585,6.565974966405597,4.873428666824291,0.07310533954008068,-0.07310533954008099,nan
0.9357620817843866,2.71304448358675,0.04481854481893576,0.30485778891266235,0.9984442483710299,-0.054945252381470945,-0.00025680219603704926,0.00948874007325966,0.06354126280879091,6.725481157761653,4.986790172201443,0.0734029310663934,-0.073402931066394,nan
0.9524721189591078,2.7698446694565715,0.05086848225184985,0.30457858841493574,0.9981398332435812,-0.059818111410023474,-0.00033940169886562376,0.011770796332480555,0.07460855593141558,6.88585083606789,5.100686224958206,0.07369107306907798,-0.07369107306907886,nan
0.969182156133829,2.8268458428464345,0.057498758866448,0.30425137420408027,0.9977988060928293,-0.06473257711722055,-0.0004468021792407155,0.01438875906046632,0.08650523199068802,7.047108485632924,5.2151053471745765,0.07397026582119992,-0.07397026582120106,nan
0.9858921933085502,2.884036801374399,0.0647530145388538,0.3038762244638657,0.9974200911275244,-0.0696505471408078,-0.000584974779221803,0.017367236471435683,0.09916016988687842,7.2093149488005634,5.330054847224814,0.07424071603800053,-0.07424071603800167,nan
1.0026022304832714,2.9414014311590737,0.07266548158817127,0.3034556544248248,0.9970029305520256,-0.07453295645217828,-0.000760025164275755,0.020722384875307042,0.11246772894202849,7.372521705841769,5.445534160154834,0.07450282209152806,-0.07450282209152903,nan
1.0193122676579927,2.9989204643422323,0.08126105538358439,0.30299425742386904,0.9965467004086679,-0.07934313382208164,-0.000977766051463245,0.024461909030910712,0.1262989162424263,7.536769659696774,5.561536778623486,0.07475715276882464,-0.07475715276882541,nan
1.0360223048327137,3.0565783009295258,0.09058786619307342,0.3024967792714653,0.9960506986661741,-0.0840435513265901,-0.0012456549430460463,0.028603068206126164,0.14052504514491101,7.702137057371054,5.678074484344059,0.0750041422447888,-0.07500414224478981,nan
1.052732342007435,3.114354236039459,0.10067724811429572,0.3019702397821309,0.9955141735908798,-0.08860102939660083,-0.0015700150282055585,0.03315000486186669,0.1549909804948799,7.86867635406396,5.795146716508323,0.07524458550288073,-0.0752445855028818,nan
1.0694423791821561,3.172226125186807,0.1115544808442376,0.3014226030678323,0.9949361029920452,-0.09298757520353161,-0.001956274182232747,0.038100325616642665,0.16953399850337558,8.03642818117187,5.9127495639075,0.07547950493349159,-0.07547950493349273,nan
1.0861524163568772,3.230173336871574,0.12327131460500657,0.30086189921637496,0.9943151766953369,-0.09717328510059514,-0.0024113994210122973,0.04346109995054973,0.18398335115880723,8.20546907302406,6.030896489263222,0.07571000147766471,-0.07571000147766585,nan
1.1028624535315985,3.2881712461261987,0.1358535060611266,0.30029692775389977,0.9936495675846195,-0.10113876565229,-0.0029394243972807044,0.049222420759676686,0.1981641638991218,8.375828435639841,6.149583358610364,0.07593758455421011,-0.07593758455421122,nan
1.1195724907063196,3.3461949782321474,0.14932527927909892,0.2997359517329633,0.9929368969535451,-0.10487065785240225,-0.003543161120142912,0.05537065828709312,0.21190795405344037,8.547524649834166,6.268805175682482,0.07616392393923288,-0.07616392393923391,nan
1.136282527881041,3.404218825453424,0.16374014099821402,0.2991868967447189,0.9921743273374573,-0.10835388031661379,-0.004226732885918245,0.06190052925386157,0.22503224308772818,8.720608401040506,6.388573216330839,0.07639083853301974,-0.07639083853302081,nan
1.152992565055762,3.462215835780595,0.17911491042969788,0.29865625278729985,0.9913582667945462,-0.111589136852957,-0.004989906418226594,0.06878773312490363,0.23738558452757638,8.895063571865492,6.508876332795634,0.07662016947309466,-0.0766201694730958,nan
1.1697026022304833,3.520159263857359,0.1954708036163307,0.2981489807688391,0.990484607165528,-0.1145822896072641,-0.005831734063295774,0.07600745196572424,0.2488316631581094,9.070869130214152,6.629705812673841,0.07685354962899148,-0.07685354962899255,nan
1.1864126394052044,3.5780191124297542,0.2128606777290061,0.29766926247819775,0.9895487840833712,-0.11733896967656388,-0.006752710137827707,0.08354143295490345,0.2592191451218859,9.248032394637763,6.751068478005092,0.07709239479790465,-0.07709239479790585,nan
1.2031226765799257,3.63576850620972,0.23128942725346388,0.297218205915892,0.9885457796829048,-0.11988221297460439,-0.007748859243930478,0.09135344363431118,0.2684677674113311,9.426484437864294,6.872945613018076,0.07733723496819092,-0.07733723496819209,nan
1.2198327137546467,3.6933800906331156,0.2507738418172292,0.29679539588651516,0.9874704047276156,-0.12223787970968707,-0.008816901767054621,0.09941007390797586,0.2765128078253266,9.606163644879134,6.995325216672957,0.07758782608207533,-0.07758782608207652,nan
1.236542750929368,3.7508206390777796,0.27136448245069766,0.29639941618908705,0.9863172154609895,-0.12443328710918534,-0.00995571218563562,0.10768282750448134,0.28327921240100623,9.787034862109232,7.118210640939112,0.07784298810831439,-0.07784298810831544,nan
1.2532527881040891,3.808065587635392,0.2930528438070953,0.2960257164035965,0.9850810203096644,-0.12650898227851823,-0.011160781290277607,0.11613052049101823,0.2887915219854306,9.968992572831588,7.241578632677168,0.07810009186637301,-0.07810009186637415,nan
1.2699628252788104,3.8650876298095356,0.3158512018206348,0.2956689365660953,0.9837567820387083,-0.12850510317681904,-0.012429876942882454,0.12471780309781424,0.2930815915618293,10.151953747871383,7.365416831944114,0.07835557211036782,-0.07835557211036905,nan
1.2866728624535315,3.921850561609767,0.339807452391635,0.2953226928026248,0.9823392854148022,-0.13046405349048726,-0.013763871453777362,0.13341369839776937,0.2961786109613077,10.335863064089937,7.489728182587155,0.0786047357266888,-0.07860473572669012,nan
1.3033828996282528,3.9783331184905357,0.36490024954356465,0.29497902075978605,0.9808243369233821,-0.1324305463022529,-0.015161046193402462,0.14218267539758933,0.2982151645312272,10.520612403607599,7.614488659231108,0.07884280485565708,-0.07884280485565852,nan
1.320092936802974,4.034506795702522,0.3911406316151438,0.29462982793194403,0.9792077291996185,-0.1344464001666275,-0.01662294185332642,0.15099690845213548,0.29931660163023127,10.706129594740542,7.739689316374328,0.07906505089630798,-0.07906505089630941,nan
1.3368029739776952,4.090332978814974,0.41856899644343787,0.2942661278926805,0.9774848595818276,-0.1365542828051776,-0.018154287300164076,0.15983334754825537,0.2996183955215126,10.892368470163262,7.865333410733618,0.07926687006550025,-0.07926687006550155,nan
1.3535130111524163,4.14579179492153,0.4471587340126391,0.2938797905744138,0.9756524037994808,-0.13878626032156496,-0.019757049130633912,0.16867252270568395,0.29932206035401077,11.079255243811279,7.9914009026525,0.07944619075542714,-0.07944619075542811,nan
1.3702230483271376,4.2008518609645265,0.47692042151611824,0.29346268675471915,0.9737063960715501,-0.14117097989840716,-0.021436318301937828,0.17750237446731548,0.29861682863696476,11.266754074271258,8.117887477669276,0.07960214510428801,-0.07960214510428887,nan
1.3869330855018587,4.255471883323304,0.5078859315831771,0.2930063938688317,0.971642097643015,-0.14373363651134305,-0.023199488935435587,0.18631709405269675,0.29770408805402976,11.454854483994351,8.244797814075492,0.07973552785112392,-0.07973552785112475,nan
1.40364312267658,4.309631023944577,0.5400279641548311,0.29250542117949374,0.9694559927258088,-0.14648114750411856,-0.025049944502999664,0.1951175334876132,0.296796949626135,11.643533078814453,8.37211756553424,0.07985023008448822,-0.07985023008448924,nan
1.420353159851301,4.363293090474559,0.573357616062903,0.29195432190380277,0.9671433150146597,-0.1494169762607643,-0.02699361038652539,0.20391106008710133,0.2960966609401852,11.832802021265781,8.499847690198052,0.07995101329467932,-0.07995101329468025,nan
1.4370631970260224,4.4164130481552375,0.6078995327727652,0.2913484752912908,0.9646984184105619,-0.15253669512165655,-0.029037159759557736,0.21271192141161518,0.2958046874136854,12.022696951106278,8.627995530603517,0.0800437396896223,-0.08004373968962308,nan
